sub,rotationSpeed,afterReversalD,targetSide,perceptualError,RtorsionPosition,RtorsionVelT,RtorsionAngleTotal,RtorsionAngleCW,RtorsionAngleCCW,RsacNumT,RsacNumTCW,RsacNumTCCW,RsacAmpSumT,RsacAmpSumTCW,RsacAmpSumTCCW,RsacAmpMeanT,RsacAmpMeanTCW,RsacAmpMeanTCCW,LtorsionPosition,LtorsionVelT,LtorsionAngleTotal,LtorsionAngleCW,LtorsionAngleCCW,LsacNumT,LsacNumTCW,LsacNumTCCW,LsacAmpSumT,LsacAmpSumTCW,LsacAmpSumTCCW,LsacAmpMeanT,LsacAmpMeanTCW,LsacAmpMeanTCCW,timeWindow,exp
1,25,1,1,7.95115966376495,0.435616807684276,-0.0994597443850251,0.0601685348762637,0,-0.0601685348762637,0,0,0,0,0,0,NaN,NaN,NaN,0.114648525115773,0.321471370400131,0.240833078488673,0.240833078488673,-0,0,0,0,0,0,0,NaN,NaN,NaN,-1,2
1,25,-1,1,17.9497764418931,-0.138273606466433,0.0266469714232251,0.017542312624828,0.017542312624828,-0,0,0,0,0,0,0,NaN,NaN,NaN,-0.266324617993263,0.264048225651753,0.179748178166152,0.179748178166152,-0,0,0,0,0,0,0,NaN,NaN,NaN,-1,2
1,50,-1,1,9.3402414165338,-0.216933126661896,-0.621537309955498,0.355976846434865,0,-0.355976846434865,0,0,0,0,0,0,NaN,NaN,NaN,-0.678870738439756,-0.199744871160449,0.404328965287052,0.160428457338294,-0.243900507948758,1,0,1,0.628473891617796,0,0.628473891617796,0.628473891617796,NaN,0.628473891617796,-1,2
1,100,1,-1,13.5378506932356,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0306101535835417,0.313427654357816,0.268961259090845,0.268961259090845,-0,0,0,0,0,0,0,NaN,NaN,NaN,-1,2
1,100,-1,-1,12.4034380728647,-0.891426389297564,-0.335242608458549,0.154713151759361,0,-0.154713151759361,0,0,0,0,0,0,NaN,NaN,NaN,-0.687355105879095,-0.878076857758111,0.231886209664205,0,-0.231886209664205,2,0,2,0.95496609198823,0,0.95496609198823,0.477483045994115,NaN,0.477483045994115,-1,2
1,25,-1,1,12.6998183687409,-0.218197245168031,-0.291633212691841,0.146737757913618,0,-0.146737757913618,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,2
1,100,1,1,10.4985390294204,-0.320969809082479,0.264940013899044,0.158279519219075,0.158279519219075,-0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,2
1,50,1,1,12.5831325457685,-0.422044112779701,0.714439085530761,0.487912719054057,0.487912719054057,-0,0,0,0,0,0,0,NaN,NaN,NaN,-0.522503699485978,0.0590102214347592,0.335152358907841,0.173761876184038,-0.161390482723803,2,0,2,0.616288137195899,0,0.616288137195899,0.30814406859795,NaN,0.30814406859795,-1,2
1,200,-1,1,9.09949808803156,0.341323641718974,0.40793443061762,0.205337434395232,0.205337434395232,-0,0,0,0,0,0,0,NaN,NaN,NaN,-0.325566990757001,0.343832243078764,0.169943640378779,0.169943640378779,-0,0,0,0,0,0,0,NaN,NaN,NaN,-1,2
1,50,-1,-1,19.3675730226807,0.272897763983738,0.0215728243792663,0.0244471056700449,0.0244471056700449,-0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,2
1,25,1,-1,21.2788207867121,-0.304140792837818,-0.310854503840853,0.162953757654438,0,-0.162953757654438,0,0,0,0,0,0,NaN,NaN,NaN,-0.862081473014489,0.1677074233055,0.304381813718005,0.185884686272258,-0.118497127445747,2,0,2,1.11645140501488,0,1.11645140501488,0.558225702507442,NaN,0.558225702507442,-1,2
1,200,1,1,13.8116500081582,0.0992193119901791,-0.0148972445217416,0.00977010381651897,0,-0.00977010381651897,0,0,0,0,0,0,NaN,NaN,NaN,-0.193899706838133,0.513788861447024,0.420372519437112,0.420372519437112,-0,1,0,1,0.225762467564252,0,0.225762467564252,0.225762467564252,NaN,0.225762467564252,-1,2
1,200,1,1,18.3542262504745,-0.455920641001494,0.384898523956169,0.189196373523958,0.189196373523958,-0,0,0,0,0,0,0,NaN,NaN,NaN,-1.25888327617318,0.616881598709686,0.331448429895089,0.270344486305702,-0.0611039435893863,1,0,1,0.505294304690395,0,0.505294304690395,0.505294304690395,NaN,0.505294304690395,-1,2
1,50,-1,1,7.32876586471496,-0.153856785698662,0.4083586355883,0.304771809327627,0.304771809327627,-0,0,0,0,0,0,0,NaN,NaN,NaN,0.0698633034757319,0.235372130431688,0.196680802195449,0.180087773955163,-0.0165930282402857,2,1,1,0.310873652011154,0.0105709042768126,0.300302747734342,0.155436826005577,0.0105709042768126,0.300302747734342,-1,2
1,200,1,-1,9.67604722035398,-0.0752974819184258,0.178171632192601,0.0989744303668299,0.0989744303668299,-0,0,0,0,0,0,0,NaN,NaN,NaN,-0.388698824035057,1.64784023309124,0.635158978791943,0.635158978791943,-0,1,0,1,0.00307569129095062,0,0.00307569129095062,0.00307569129095062,NaN,0.00307569129095062,-1,2
1,100,-1,1,7.92941238281256,0.690166558087281,-0.261229345319476,0.202880463912694,0,-0.202880463912694,0,0,0,0,0,0,NaN,NaN,NaN,0.524736066423213,0.33649536708094,0.996376639379289,0.585523957156973,-0.410852682222316,1,1,0,0.260073234728023,0.260073234728023,0,0.260073234728023,0.260073234728023,NaN,-1,2
1,25,-1,-1,12.1618495693549,-0.121663819703289,-0.113165978736394,0.0734046229052834,0,-0.0734046229052834,0,0,0,0,0,0,NaN,NaN,NaN,-0.514086086328623,0.564534130431344,0.374958778801828,0.374958778801828,-0,0,0,0,0,0,0,NaN,NaN,NaN,-1,2
