sub,rotationSpeed,afterReversalD,targetSide,timeWindow,exp,perceptualError,eye,torsionPosition,torsionVelT,torsionAngleTotal,torsionAngleCW,torsionAngleCCW,sacNumT,sacNumTCW,sacNumTCCW,sacAmpSumT,sacAmpSumTCW,sacAmpSumTCCW,sacAmpMeanT,sacAmpMeanTCW,sacAmpMeanTCCW
1,200,-1,1,-1,2,12.0312729026792,2,0.118335819573677,1.00077388546205,0.698283234420817,0.698283234420817,-0,0,0,0,0,0,0,NaN,NaN,NaN
1,200,1,1,-1,2,8.76514157962413,2,-0.441453617401424,0.64699628009359,0.349620251052041,0.349620251052041,-0,0,0,0,0,0,0,NaN,NaN,NaN
1,100,-1,1,-1,2,15.3779131526122,2,0.0969684589417407,1.25786243431783,0.711025594458743,0.711025594458743,-0,0,0,0,0,0,0,NaN,NaN,NaN
1,200,-1,-1,-1,2,17.5961032826466,1,0.0962571983617804,0.368570801464409,0.461783849929794,0.225619434052433,-0.236164415877361,2,2,0,0.298655047530876,0.298655047530876,0,0.149327523765438,0.149327523765438,NaN
1,100,1,1,-1,2,7.6856297360597,2,-0.00426823434182371,1.58881509456141,0.729937089103356,0.729937089103356,-0,0,0,0,0,0,0,NaN,NaN,NaN
1,50,1,-1,-1,2,9.88368122113674,1,0.100536062088789,1.06709600787813,0.52349473169904,0.52349473169904,-0,1,1,0,0.228045676442997,0.228045676442997,0,0.228045676442997,0.228045676442997,NaN
1,25,-1,-1,-1,2,8.78672952133212,1,-0.226992518835199,-0.078466361299423,0.3321551340157,0.167628527745069,-0.164526606270631,1,0,1,0.426737964903261,0,0.426737964903261,0.426737964903261,NaN,0.426737964903261
1,100,-1,1,-1,2,6.3509057660971,2,1.06038853329476,1.23534801402542,0.630236042911083,0.630236042911083,-0,0,0,0,0,0,0,NaN,NaN,NaN
1,100,-1,-1,-1,2,8.13222495272263,1,-0.271889653060816,0.542436403492484,0.312585575431165,0.312585575431165,-0,1,0,1,0.262906186076032,0,0.262906186076032,0.262906186076032,NaN,0.262906186076032
1,50,-1,-1,-1,2,18.1671386557614,1,-0.0324019154777987,-0.14287267965311,0.212039079393449,0.0604045563327823,-0.151634523060667,2,0,2,0.579615562232378,0,0.579615562232378,0.289807781116189,NaN,0.289807781116189
1,200,-1,1,-1,2,8.28801939442562,2,-0.709486609308515,1.43081939806486,0.585212534749615,0.585212534749615,-0,0,0,0,0,0,0,NaN,NaN,NaN
1,25,1,-1,-1,2,16.9450429024171,1,-0.130547369576722,0.271449710866396,0.167753087905446,0.167753087905446,-0,0,0,0,0,0,0,NaN,NaN,NaN
1,50,1,-1,-1,2,8.27705438866813,1,-0.174653914338781,0.329104294665959,0.221767803323654,0.221767803323654,-0,0,0,0,0,0,0,NaN,NaN,NaN
1,25,1,-1,-1,2,6.33109098789799,1,0.205747848891319,-0.521980280075367,0.258033808225629,0,-0.258033808225629,0,0,0,0,0,0,NaN,NaN,NaN
1,100,1,-1,-1,2,9.18559122977753,1,0.0773169886940158,-0.172860520025551,0.125025945670866,0.032718317631342,-0.0923076280395242,2,0,2,0.545952937672626,0,0.545952937672626,0.272976468836313,NaN,0.272976468836313
1,200,1,-1,-1,2,8.25054279049851,1,-0.141319565405429,0.0036370463652566,0.0808963976911598,0.0421580940548661,-0.0387383036362937,2,0,2,0.589356123224534,0,0.589356123224534,0.294678061612267,NaN,0.294678061612267
1,100,-1,1,-1,2,9.13841193699819,2,-0.345970083817284,1.3607882773764,0.908202619448879,0.908202619448879,-0,0,0,0,0,0,0,NaN,NaN,NaN
