sub,rotationSpeed,LsameSideAfterReversalD,LtorsionVelT,LtorsionVGain,LtorsionAngleTotal,LtorsionAngleCW,LtorsionAngleCCW,LsacNumT,LsacAmpSumT,LsacAmpMeanT,RsameSideAfterReversalD,RtorsionVelT,RtorsionVGain,RtorsionAngleTotal,RtorsionAngleCW,RtorsionAngleCCW,RsacNumT,RsacAmpSumT,RsacAmpMeanT,exp
1,100,1,0.303491311417632,0.00303491311417632,0.546715491690819,0.546715491690819,-0,1,0.722777554394202,0.722777554394202,-1,0.156096381313548,0.00156096381313548,0.280708663819772,0.280708663819772,-0,1,0.22076014197914,0.22076014197914,2
1,25,1,0.052086248832161,0.00208344995328644,0.127915381523364,0.127915381523364,-0,1,0.83017710355748,0.83017710355748,-1,0.0345280917047376,0.0013811236681895,0.678116780893526,0.377873038782701,-0.300243742110825,2,0.608297226391365,0.304148613195683,2
1,100,-1,0.658754100019416,0.00658754100019416,1.00510820740407,1.00510820740407,-0,3,2.21248108246697,0.737493694155655,1,0.413705075245423,0.00413705075245424,0.676086347961902,0.676086347961902,-0,3,1.07243248897185,0.357477496323949,2
1,100,-1,0.309450658137083,0.00309450658137083,0.593268111020406,0.593268111020406,-0,2,0.973055079383283,0.486527539691641,1,0.107808572532419,0.00107808572532419,0.213638466653724,0.213638466653724,-0,1,0.401555424302977,0.401555424302977,2
1,100,-1,0.42112621323496,0.0042112621323496,0.807079086119798,0.807079086119798,-0,1,0.571368714742588,0.571368714742588,1,0.304042653667409,0.00304042653667409,0.875246652264562,0.700117039556543,-0.175129612708018,2,0.416176176238286,0.208088088119143,2
1,200,-1,0.368008202987151,0.00184004101493575,0.632999747502566,0.632999747502566,-0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
1,25,1,0.154467100927743,0.00617868403710973,0.290182919391223,0.290182919391223,-0,1,0.440538646517756,0.440538646517756,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
1,50,1,0.134679382713674,0.00269358765427348,0.240327386874111,0.240327386874111,-0,1,0.429196690746888,0.429196690746888,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
1,25,1,0.58621624238469,0.0234486496953876,1.41594602564312,1.27209512137174,-0.143850904271386,2,0.338272690250258,0.169136345125129,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
1,100,-1,0.236348481175141,0.00236348481175141,0.42306515782988,0.42306515782988,-0,1,0.10914310196599,0.10914310196599,1,0.167465226031768,0.00167465226031768,0.320964847176016,0.320964847176016,-0,0,0,NaN,2
1,50,1,0.34621610631226,0.0069243221262452,1.06081801596009,0.854169326365699,-0.206648689594386,4,0.952665413259382,0.238166353314845,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
1,100,-1,0.203734327613613,0.00203734327613613,0.33070437086762,0.33070437086762,-0,2,0.591404555920033,0.295702277960016,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
1,200,1,0.203302014454849,0.00101651007227425,0.376885024620709,0.376885024620709,-0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
1,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-0.158807766686337,-0.00158807766686337,1.33043295831998,0.520924155199283,-0.809508803120696,6,5.16235913633435,0.860393189389058,2
1,200,1,0.147540057408492,0.000737700287042458,0.411281332384814,0.312189014491716,-0.0990923178930984,3,1.02124276757908,0.340414255859695,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
1,200,1,0.156882431894411,0.000784412159472056,0.318846959889892,0.318846959889892,-0,2,0.191154601521868,0.0955773007609342,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
1,25,1,0.209203048147082,0.00836812192588329,0.834096860040834,0.595353575685701,-0.238743284355133,1,0.519012427159985,0.519012427159985,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
1,50,-1,0.259570719990139,0.00519141439980277,0.540874304517605,0.540874304517605,-0,2,0.819059688919236,0.409529844459618,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
